影评	电影简介	电影名称	序号	星级	电影类型
431925人评价	上帝之城+猜火车+阿甘正传+开心辞典=山寨富翁	贫民窟的百万富翁	127	8.5	2008/英国美国/剧情爱情
					
202899人评价	像吃了苏打饼一样干脆的电影。	谍影重重3	128	8.7	2007/美国德国/动作悬疑惊悚
					
158587人评价	中国家庭的喜怒哀乐忍。	喜宴	129	8.8	1993/台湾美国/剧情喜剧爱情同性家庭
					
347993人评价	爱，是个动词。	真爱至上	130	8.5	2003/英国美国法国/喜剧剧情爱情
					
285548人评价	电影诗。	东邪西毒	131	8.6	1994/香港台湾/剧情动作爱情武侠古装
					
311956人评价	一个针管引发的血案。	记忆碎片	132	8.5	2000/美国/犯罪剧情悬疑惊悚
					
463505人评价	黑暗之美。	黑天鹅	133	8.5	2010/美国/剧情惊悚
					
415307人评价	老少皆宜，这就是好莱坞动画的魅力。	疯狂原始人	134	8.7	2013/美国/喜剧动画冒险
					
105516人评价	大海啊，不全是水。	海洋	135	9	2009/法国瑞士西班牙美国阿联酋/纪录片
					
228999人评价	生活在自己的世界里，也可以让周围的人显得可笑和渺小。	雨人	136	8.6	1988/美国/剧情
					
139914人评价	尊敬他人，尊敬你生活的这片土地，明白孤独是人生的常态。	小森林 冬春篇	137	8.9	2015/日本/剧情
					
135949人评价	当这个世界闭上双眼，他却敞开了怀抱。	卢旺达饭店	138	8.9	2004/英国南非意大利美国/剧情历史战争
					
311498人评价	10年的完美句点。	哈利・波特与死亡圣器(下)	139	8.7	2011/美国英国/剧情悬疑奇幻冒险
					
204656人评价	《我是山姆》的《美丽人生》。	7号房的礼物	140	8.7	2013/韩国/剧情喜剧家庭
					
197180人评价	英雄泪短，兄弟情长。 	英雄本色	141	8.6	1986/香港/动作犯罪
					
187179人评价	触不到的恋人。	萤火之森	142	8.8	2011/日本/剧情爱情动画奇幻
					
212537人评价	沉醉在电影的情感和视听氛围中无法自拔。	请以你的名字呼唤我	143	8.8	2017/意大利法国巴西美国/剧情爱情同性
					
209188人评价	荒诞讽刺，千奇百巧，抽丝剥茧，百转千回。	心迷宫	144	8.6	2014/中国大陆/剧情犯罪悬疑
					
117729人评价	永远看不腻的喜剧。	虎口脱险	145	8.9	1966/法国英国/喜剧战争
					
160694人评价	传奇，不是每个人都可以拥有。	燃情岁月	146	8.7	1994/美国/剧情爱情西部家庭
					
342284人评价	爱是摈弃傲慢与偏见之后的曙光。	傲慢与偏见	147	8.5	2005/法国英国美国/剧情爱情
					
167159人评价	始于荒诞，止于更荒诞。	荒蛮故事	148	8.8	2014/阿根廷西班牙/剧情喜剧犯罪
					
426205人评价	Balalala~~~	超能陆战队	149	8.6	2014/美国/喜剧动作科幻动画冒险
					
230142人评价	我们都有权利不与自己的过去和解。	海边的曼彻斯特	150	8.6	2016/美国/剧情家庭
					
149309人评价	任何信念的力量，都无法改变命运。	教父3	151	8.8	1990/美国/剧情犯罪
					
388361人评价	华太师是黄，吴镇宇四大才子之一。	唐伯虎点秋香	152	8.4	1993/香港/喜剧爱情古装
					
330403人评价	诺兰就是保证。	蝙蝠侠：黑暗骑士崛起	153	8.6	2012/美国英国/剧情动作科幻犯罪惊悚
					
319004人评价	爱情没有那么多借口，如果不能圆满，只能说明爱的不够。 	恋恋笔记本	154	8.5	2004/美国/剧情爱情
					
169511人评价	香港浪漫主义警匪动作片的巅峰之作。	纵横四海	155	8.7	1991/香港/剧情喜剧动作犯罪
					
92872人评价	坏人的好总是比好人的好来得更感人。	完美的世界	156	9	1993/美国/剧情犯罪
					
276030人评价	偷情本没有这样美。	花样年华	157	8.5	2000/香港/剧情爱情
					
233348人评价	把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福。	时空恋旅人	158	8.6	2013/英国/剧情爱情奇幻
					
214335人评价	跨度十五年的欢乐与泪水。	玩具总动员3	159	8.8	2010/美国/喜剧动画奇幻冒险
					
141767人评价	中国式内在的美国电影。	魂断蓝桥	160	8.8	1940/美国/剧情战争爱情
					
269983人评价	不可猜的青春迷笛。 	猜火车	161	8.5	1996/英国/犯罪剧情
					
204574人评价	爱上未来的你。 	穿越时空的少女	162	8.6	2006/日本/剧情爱情科幻动画
					
208821人评价	Jared Leto的腿比女人还美！	达拉斯买家俱乐部	163	8.7	2013/美国/剧情传记同性
					
102375人评价	骨灰级歌舞片。	雨中曲	164	9	1952/美国/喜剧歌舞爱情
					
121750人评价	有一些东西不应该被遗忘。	二十二	165	8.7	2015/中国大陆/纪录片
					
118228人评价	爱并不需要智商 。	我是山姆	166	8.8	2001/美国/剧情家庭
					
82280人评价	我的平常生活就是他人的幸福。	无人知晓	167	9.1	2004/日本/剧情
					
211697人评价	对爱的执着，可以超越一切。	人工智能	168	8.6	2001/美国/冒险剧情科幻
					
305145人评价	松鼠才是角儿。	冰川时代	169	8.5	2002/美国/喜剧动画冒险
					
365468人评价	优秀的战争片不会美化战场，不会粉饰死亡，不会矮化敌人，不会无视常识，最重要的，不会宣扬战争。	血战钢锯岭	170	8.7	2016/美国澳大利亚/剧情传记历史战争
					
146892人评价	世界离独裁只有五天。	浪潮	171	8.7	2008/德国/剧情惊悚
					
266403人评价	这个世界从不善待努力的人，努力了也不一定会成功，但是知道自己在努力，就是活下去的动力。	爆裂鼓手	172	8.6	2014/美国/剧情音乐
					
304929人评价	一个单凭体香达到高潮的男人。	香水	173	8.4	2006/德国法国西班牙美国/剧情犯罪奇幻
					
298834人评价	当爱情跨越年龄的界限，它似乎能变得更久远一点，成为一种责任，一种水到渠成的相濡以沫。 	朗读者	174	8.5	2008/美国德国/剧情爱情
					
141278人评价	人生的N种可能性。	罗生门	175	8.7	1950/日本/犯罪剧情悬疑
					
113061人评价	好的剧本是，就算你猜到了结局也猜不到全部。	未麻的部屋	176	8.8	1997/日本/动画奇幻惊悚
					
233021人评价	王家卫是一种风格，张国荣是一个代表。	阿飞正传	177	8.5	1990/香港/犯罪剧情爱情
					
287228人评价	热血沸腾，那个低俗、性感的无耻混蛋又来了。	被解救的姜戈	178	8.6	2012/美国/剧情动作西部冒险
					
261989人评价	愿我们都不用长大，每一座城堡都能永远存在。	头脑特工队	179	8.7	2015/美国/喜剧动画冒险
					
143022人评价	坚硬的信仰。	可可西里	180	8.7	2004/中国大陆香港/剧情犯罪
					
367060人评价	不要企图在重复中寻找已经失去的爱。	恐怖游轮	181	8.4	2009/英国澳大利亚/剧情悬疑惊悚
					
145248人评价	只有有信仰的人才能说出事实真相。	一次别离	182	8.7	2011/伊朗法国/剧情家庭
					
90419人评价	诺兰的牛逼来源于内心散发出的恐惧。	追随	183	8.9	1998/英国/犯罪悬疑惊悚
					
189092人评价	天使与魔鬼的冲撞。	撞车	184	8.6	2004/美国德国/犯罪剧情
					
190187人评价	做一颗让别人需要你的棋子。	战争之王	185	8.6	2005/美国法国/剧情犯罪
					
179026人评价	被偷走的岁月，被伤害的生命，被禁锢的灵魂，终将被希望和善意救赎。	房间	186	8.8	2015/爱尔兰加拿大英国美国/剧情家庭
					
95640人评价	天使保护事件始末。	地球上的星星	187	8.8	2007/印度/剧情儿童家庭
					
552831人评价	穿越错位的时空，仰望陨落的星辰，你没留下你的名字，我却无法忘记那句“我爱你”。	你的名字。	188	8.4	2016/日本/剧情爱情动画
					
218386人评价	宫崎骏的电影总让人感觉世界是美好的，阳光明媚的。	魔女宅急便	189	8.5	1989/日本/动画奇幻冒险
					
122690人评价	一场没有春天的噩梦。	梦之安魂曲	190	8.7	2000/美国/剧情
					
286325人评价	他给机器起名“克里斯托弗”，因为这是他初恋的名字。	模仿游戏	191	8.6	2014/英国美国/剧情传记战争同性
					
212547人评价	哗啦啦啦啦，天在下雨，哗啦啦啦啦，云在哭泣……找自己。	谍影重重	192	8.5	2002/美国德国捷克/动作悬疑惊悚
					
119550人评价	弱者送给弱者的一刀。	牯岭街少年杀人事件	193	8.8	1991/台湾/剧情犯罪
					
69756人评价	养狗三日，便会对你终其一生。	忠犬八公物语	194	9	1987/日本/剧情
					
176598人评价	谁说王家卫镜头很晃？	谍影重重2	195	8.6	2004/美国德国/动作悬疑惊悚
					
141882人评价	惠及一生的美丽。	一个叫欧维的男人决定去死	196	8.7	2015/瑞典/剧情
					
94237人评价	故事的反转与反转，分裂电影的始祖。	惊魂记	197	8.9	1960/美国/悬疑惊悚恐怖
					
233123人评价	来啊，互相伤害啊！	完美陌生人	198	8.6	2016/意大利/剧情喜剧
					
247758人评价	人生如此，浮生如斯。谁人言，花彼岸，此生情长意短。谁都是不懂爱的罢了。	青蛇	199	8.4	1993/香港/剧情奇幻古装
					
91916人评价	想你时你在闹海。	哪吒闹海	200	8.9	1979/中国大陆/冒险动画奇幻
					
193638人评价	爱我就给我看你的播放列表。	再次出发之纽约遇见你	201	8.5	2013/美国/喜剧爱情音乐
					
188267人评价	宝莱坞的萝莉与大叔。	小萝莉的猴神大叔	202	8.5	2015/印度/剧情喜剧动作
					
174780人评价	不得不说，《黑客帝国》系列是商业片与科幻、哲学完美结合的典范。	黑客帝国3：矩阵革命	203	8.6	2003/美国澳大利亚/动作科幻
					
57671人评价	东京那么大，如果有一天走失了，恐怕一辈子不能再相见。	东京物语	204	9.2	1953/日本/剧情家庭
					
444063人评价	邓肯・琼斯继《月球》之后再度奉献出一部精彩绝伦的科幻佳作。	源代码	205	8.4	2011/美国加拿大/科幻悬疑惊悚
					
205861人评价	嬉笑怒骂，调风动月。	新龙门客栈	206	8.5	1992/香港中国大陆/剧情动作武侠古装
					
155397人评价	少见的超越首部的续集，动作片中的经典。	终结者2：审判日	207	8.6	1991/美国法国/动作科幻
					
115740人评价	没有了退路，只好飞向自由。	末路狂花	208	8.7	1991/美国法国/犯罪剧情惊悚
					
334901人评价	青春就是放弃和怀念。	秒速5厘米	209	8.3	2007/日本/动画剧情爱情
					
117960人评价	天使暂时离开。	绿里奇迹	210	8.7	1999/美国/犯罪剧情奇幻悬疑
					
113324人评价	在那片深蓝中，感受来自大海的忧伤寂寞与美丽自由。	碧海蓝天	211	8.7	1988/法国美国意大利/剧情爱情
					
96489人评价	日本的家庭电影已经是世界巅峰了，步履不停是巅峰中的佳作。	步履不停	212	8.8	2008/日本/剧情家庭
					
154118人评价	类型片的极致。 	勇闯夺命岛	213	8.6	1996/美国/动作冒险
					
50226人评价	永远的小人物，伟大的卓别林。	城市之光	214	9.2	1931/美国/喜剧剧情爱情
					
201073人评价	科幻真正的魅力不是视觉效果能取代的。 	这个男人来自地球	215	8.5	2007/美国/剧情科幻
					
508778人评价	黑小鸭速效美白记。	初恋这件小事	216	8.3	2010/泰国/剧情喜剧爱情
					
154073人评价	是枝裕和的家庭习作。	海街日记	217	8.7	2015/日本/剧情家庭
					
243842人评价	昆汀同学越来越变态了，比北野武还杜琪峰。	无耻混蛋	218	8.4	2009/美国德国/剧情犯罪
					
175921人评价	生命不止，摇滚不死。	海盗电台	219	8.6	2009/英国德国法国/剧情喜剧音乐
					
206100人评价	迪士尼和皮克斯拿错剧本的产物。	无敌破坏王	220	8.6	2012/美国/喜剧动画奇幻冒险
					
135899人评价	世界上有那么多女人那么多酒馆，但她偏偏走进我的这家。	卡萨布兰卡	221	8.6	1942/美国/剧情爱情战争
					
232398人评价	当发哥的风衣、墨镜出现在了凯奇身上??	变脸	222	8.4	1997/美国/动作科幻犯罪惊悚
					
130224人评价	所谓爱情，就是话唠一路，都不会心生腻烦，彼此嫌弃。	爱在午夜降临前	223	8.8	2013/美国/剧情爱情
					
169424人评价	生病的E.T.皮肤的颜色就像柿子饼。	E.T. 外星人	224	8.5	1982/美国/剧情科幻
					
353076人评价	中国版《两杆大烟枪》。	疯狂的石头	225	8.3	2006/中国大陆香港/喜剧犯罪
					
201318人评价	我完全康复了。	发条橙	226	8.5	1971/英国美国/犯罪剧情科幻
					
57248人评价	最棒的西部片。	黄金三镖客	227	9.1	1966/意大利西班牙西德/冒险西部
					
201225人评价	每个人的内心都是深不可测的大海。 	美国丽人	228	8.5	1999/美国/剧情爱情家庭
					
137969人评价	出门必备：本草纲目。	荒野生存	229	8.6	2007/美国/冒险传记剧情
					
186011人评价	"In memory, love lives forever..."	英国病人	230	8.5	1996/美国英国/爱情剧情战争
					
206107人评价	小成本大魅力。	彗星来的那一夜	231	8.4	2013/美国英国/科幻悬疑惊悚
					
54925人评价	最美的飞翔。	迁徙的鸟	232	9.1	2001/法国德国意大利西班牙瑞士/纪录片
					
148170人评价	每个美丽事物背后都是滴血的现实。	血钻	233	8.5	2006/美国德国/剧情惊悚冒险
					
370205人评价	皇上无话儿。	国王的演讲	234	8.3	2010/英国澳大利亚美国/剧情传记历史
					
141921人评价	新闻人的理性求真。	聚焦	235	8.8	2015/美国/剧情传记
					
127480人评价	我不信仰上帝，但我敬畏上帝。	非常嫌疑犯	236	8.6	1995/德国美国/剧情犯罪悬疑惊悚
					
113491人评价	现实与童话交相辉映的旅程。	燕尾蝶	237	8.6	1996/日本/犯罪剧情
					
94047人评价	热血沸腾，相当完美的娱乐拳击大餐。	勇士	238	8.9	2011/美国/剧情运动家庭
					
117280人评价	乐观比一切都有力量。	叫我第一名	239	8.6	2008/美国/剧情传记
					
254105人评价	大卫・林奇的梦境迷宫。	穆赫兰道	240	8.3	2001/法国美国/剧情悬疑惊悚
					
144912人评价	用剩余不多的时间，去燃烧整个生命。	遗愿清单	241	8.5	2007/美国/冒险喜剧剧情
					
129699人评价	还原真实而残酷的战争。	黑鹰坠落	242	8.6	2001/美国/动作历史战争
					
64616人评价	你要相信，这世上真的有爱存在，不管在什么年纪 	我爱你	243	9	2011/韩国/剧情爱情
					
109125人评价	一群演技精湛的戏骨，奉献出一个精致的黑帮小品，成就杜琪峰群戏的巅峰之作。	枪火	244	8.6	1999/香港/剧情动作犯罪
					
148823人评价	一个人的独角戏。	荒岛余生	245	8.5	2000/美国/冒险剧情
					
103320人评价	纯净原始的笑与感动。	上帝也疯狂	246	8.6	1980/博茨瓦纳南非/喜剧
					
104749人评价	捍卫人权只是信仰，一点不妨碍其行为的残忍。	大卫・戈尔的一生	247	8.6	2003/美国德国英国/剧情犯罪悬疑
					
95903人评价	一部能引人思考的科幻励志片。	千钧一发	248	8.7	1997/美国/剧情科幻惊悚
					
105013人评价	现代科幻电影的开山之作，最伟大导演的最伟大影片。	2001太空漫游	249	8.7	1968/英国美国/科幻惊悚冒险
					
288329人评价	青春的窃窃私语。 	蓝色大门	250	8.3	2002/台湾法国/剧情爱情同性
